date;aircraft;crew;departure;arrival;landings;flighttime;pic time;dual time;remarks
2015-11-24;N869BC;C172;FI Dean;KSSI;17:55;KSGJ;19:03;1;01:08;00:00;01:08;RNAV31 - SGJ, LONG XC;01:02
2015-11-24;N869BC;C172;FI Dean;KSAV;16:58;KSSI;17:55;1;00:57;00:00;00:57;VOR04 - SSI, LONG XC;00:57
2015-11-24;N869BC;C172;FI Dean;KSGJ;15:39;KSAV;16:58;1;01:19;00:00;01:19;ILS01 - SAV, LONG XC;01:13
2015-11-23;N869BC;C172;FI Dean;KSGJ;22:02;KSGJ;23:32;1;01:30;00:00;01:30;ILS36R - VQQ, VOR31 - SGJ, HOLD;01:18
2015-11-23;N2960D;PA28;FI Dean;KSGJ;17:43;KSGJ;19:17;1;01:34;00:00;01:36;ILS32 - CRG x2, RNAV 31 - SGJ;01:24
2015-11-21;N2960D;PA28;FI Dean;KVQQ;17:48;KSGJ;18:20;1;00:32;00:00;00:32;RNAV13 - SGJ;00:26
2015-11-21;N2960D;PA28;FI Dean;KOCF;17:05;KVQQ;17:48;1;00:43;00:00;00:43;ILS36R - VQQ;00:43
2015-11-21;N2960D;PA28;FI Dean;KSGJ;15:50;KOCF;17:05;1;01:15;00:00;01:15;ILS36 - OCF;01:09
2015-11-20;N869BC;C172;FI Dean;KSGJ;14:23;KPIE;16:53;1;02:30;00:00;02:30;LOC 36 - KOCF, ILS 36R - KPIE;02:18
2015-11-19;N869BC;C172;FI Dean;KSGJ;17:28;KSGJ;18:40;1;01:12;00:00;01:12;LOC 31 - SGS, VOR/DME 32 - CRG;01:00
2015-11-19;N869BC;C172;FI Dean;KSGJ;13:39;KSGJ;14:45;1;01:06;00:00;01:06;LOC 32 - CRG, VOR 13 - SGS;00:54
2015-11-18;N81344;PA28;FI Dean;KSGJ;17:35;KSGJ;18:35;1;01:00;00:00;01:00;Holding;00:48
2015-11-17;N81344;PA28;FI Dean;KSGJ;17:34;KSGJ;18:58;1;01:24;00:00;01:24;Holding;01:12
2015-11-17;N81344;PA28;FI Dean;KSGJ;13:29;KSGJ;14:49;1;01:20;00:00;01:20;DME Arc, Partial Panel DME Arc;01:06
2015-11-17;N81344;PA28;FI Dean;KSGJ;02:43;KSGJ;03:55;1;01:12;00:00;01:12;Partial Panel, VOR Intercepting/Tracking;01:00
2015-11-16;N81344;PA28;FI Dean;KSGJ;23:40;KSGJ;00:58;1;01:18;00:00;01:18;Basic Instrument Maneuvers, Slow Flight, Unusual Attitudes;01:00
2015-11-15;N81344;PA28;FI Nika;KSGJ;15:50;KSGJ;17:08;3;01:18;00:00;01:18;Steep turns, slow flight, power off/on stall, traffic pattern, x-wind T/G & LDG
2015-10-02;OEDCL;C172;-;LOAV;15:22;LOAV;16:34;1;01:12;01:12;00:00;PAX:Stoifl
2015-09-27;OEAKW;A211;-;LOAV;16:54;LOAV;17:43;3;00:49;00:49;00:00;PAX:Martin
2015-09-21;OEAKW;A211;-;LOAV;17:26;LOAV;17:43;3;00:17;00:17;00:00;NVFR
2015-09-21;OEAKW;A211;-;LOAV;16:44;LOAV;17:26;5;00:42;00:42;00:00;
2015-09-01;OEDCL;C172;-;LOAV;16:10;LOAV;17:23;1;01:13;01:13;00:00;PAX:Stoifl+Joe
2015-08-22;OEDGE;DA40;-;LOGF;10:20;LOAV;11:04;1;00:44;00:44;00:00;PAX:Martin
2015-08-22;OEDGE;DA40;-;LOGF;08:56;LOGF;10:02;1;01:06;01:06;00:00;PAX:Mama+Papa
2015-08-22;OEDGE;DA40;-;LOAV;07:39;LOGF;08:22;1;00:43;00:43;00:00;PAX:Martin
2015-08-11;OEKAS;DA40;-;LHFM;17:30;LOAV;18:00;1;00:30;00:30;00:00;PAX:Martin
2015-08-11;OEKAS;DA40;-;LOAV;16:28;LHFM;17:01;1;00:33;00:33;00:00;PAX:Martin
2015-08-01;OECVV;A210;-;LJSG;11:38;LOAV;12:48;1;01:10;01:10;00:00;PAX:Stoifl
2015-08-01;OECVV;A210;-;LOAV;08:27;LJSG;09:51;1;01:24;01:24;00:00;PAX:Stoifl
2015-07-31;OEDCL;C172;-;LOAV;15:52;LOAV;17:43;1;01:51;01:51;00:00;PAX:Martin
2015-07-12;OEKAS;DA40;-;LOIH;14:29;LOAV;16:45;1;02:16;02:16;00:00;PAX:Alina+Judith
2015-07-10;OEKAS;DA40;-;LOAV;13:52;LOIH;16:53;1;03:01;03:01;00:00;PAX:Alina+Judith
2015-07-04;OEKAS;DA40;-;LOAB;11:01;LOAV;11:49;1;00:48;00:48;00:00;PAX:Stoifl
2015-07-04;OEKAS;DA40;-;LOAB;09:36;LOAB;10:09;1;00:33;00:33;00:00;PAX:Stoifl+Vater
2015-07-04;OEKAS;DA40;-;LOAB;08:34;LOAB;09:25;1;00:51;00:51;00:00;PAX:Stoifl+Mutter
2015-07-04;OEKAS;DA40;-;LOAV;07:32;LOAB;08:24;1;00:52;00:52;00:00;PAX:Stoifl
2015-07-03;OEKAS;DA40;-;LOGG;17:08;LOAV;17:58;1;00:50;00:50;00:00;PAX:Stoifl+Elisabeth
2015-07-03;OEKAS;DA40;-;LOAV;15:34;LOGG;16:27;1;00:53;00:53;00:00;PAX:Stoifl+Elisabeth
2015-07-02;OEDCL;C172;-;LOAV;16:56;LOAV;18:07;1;01:11;01:11;00:00;PAX:Pogo+Kathrin
2015-06-30;OEAKW;A211;-;LOAV;16:37;LOAV;18:06;1;01:29;01:29;00:00;PAX:Seirer
2015-06-25;OEAKI;A211;-;LOAV;17:01;LOAV;18:18;1;01:17;01:17;00:00;PAX:Stoifl
2015-06-22;OEAKI;A211;-;LOAV;16:44;LOAV;17:31;7;00:47;00:47;00:00;
2015-05-30;OEAKI;A211;-;LOAG;11:01;LOAV;11:46;1;00:45;00:45;00:00;PAX:Stoifl
2015-05-30;OEAKI;A211;-;LOAV;09:19;LOAG;10:10;1;00:51;00:51;00:00;PAX:Stoifl
2015-05-07;OEAKW;A211;-;LOAV;16:33;LOAV;18:06;1;01:33;01:33;00:00;PAX:Stoifl
2015-04-26;FHFPL;C172;-;LOAV;09:44;LOAV;11:08;1;01:24;01:24;00:00;PAX:Julia+Christian
2015-04-25;OECFF;C152;-;LOAG;12:20;LOAV;13:11;1;00:51;00:51;00:00;PAX:Mandy
2015-04-25;OECFF;C152;-;LOAV;09:47;LOAG;11:03;1;01:16;01:16;00:00;PAX:Mandy
2015-04-19;OEDCL;C172;-;LOAV;12:30;LOAV;14:01;1;01:31;01:31;00:00;PAX:Sebu+Conny
2015-04-16;OEAKI;A211;-;LOAV;16:43;LOAV;17:51;3;01:08;01:08;00:00;
2015-03-25;OEKAS;DA40;-;LOAV;16:47;LOAV;17:48;1;01:01;01:01;00:00;PAX:Stoifl
2015-03-20;FHFPL;C172;-;LOAV;16:21;LOAV;17:14;1;00:53;00:53;00:00;PAX:Stoifl, Nina
2015-03-18;OECFF;C152;-;LOLK;13:22;LOAV;14:50;1;01:28;01:28;00:00;
2015-03-18;OECFF;C152;-;LOLU;12:01;LOLK;12:30;1;00:29;00:29;00:00;
2015-03-18;OECFF;C152;-;LOAV;09:44;LOLU;11:29;1;01:45;01:45;00:00;
2015-02-12;OEAKW;A211;-;LOAV;18:09;LOAV;19:01;5;00:52;00:52;00:00;NVFR Training Flight
2015-02-12;OEAKW;A211;MORAWEC FI;LOAV;17:51;LOAV;18:09;2;00:18;00:00;00:18;NVFR Training Flight
2015-02-07;OEAKW;A211;MORAWEC FI;LOAV;18:27;LOAV;19:12;5;00:45;00:00;00:45;NVFR Training Flight
2015-02-07;OEAKW;A211;MORAWEC FI;LOAV;17:21;LOAV;18:25;1;01:04;00:00;01:04;NVFR Training Flight
2015-02-07;OEAKI;A211;-;LOAB;13:00;LOAV;13:54;1;00:54;00:54;00:00;PAX:Stoifl
2015-02-07;OEAKI;A211;-;LKCS;11:41;LOAB;12:30;1;00:49;00:49;00:00;PAX:Stoifl
2015-02-07;OEAKI;A211;-;LOAV;10:08;LKCS;11:13;1;01:05;01:05;00:00;PAX:Stoifl
2015-01-31;OEKAS;DA40;-;LOAV;09:32;LOAV;10:37;5;01:05;01:05;00:00;
2015-01-15;OEAKW;A211;MORAWEC FI;LOAV;17:02;LOAV;19:05;10;02:03;00:00;02:03;NVFR Training Flight
2015-01-06;OECFF;C152;;LHFM;14:23;LOAV;15:02;1;00:39;00:39;00:00;PAX:Stoifl
2015-01-06;OECFF;C152;;LOAV;12:34;LHFM;13:09;1;00:35;00:35;00:00;PAX:Stoifl
2015-01-03;OEAKW;A211;;LOAV;09:05;LOAV;09:57;3;00:52;00:52;00:00;
2014-11-04;OEAKI;A211;;LOAU;10:27;LOAV;10:58;1;00:31;00:31;00:00;
2014-11-01;OEAKI;A211;;LOWG;13:39;LOAU;14:58;1;01:19;01:19;00:00;PAX:Stoifl
2014-11-01;OEAKI;A211;;LOAV;10:54;LOWG;11:47;1;00:53;00:53;00:00;PAX:Stoifl
2014-10-14;OECFF;C152;;LOAV;15:39;LOAV;16:29;1;00:50;00:50;00:00;PAX:Stoifl
2014-10-12;FHFPL;C172;;LOGG;15:17;LOAV;16:02;1;00:45;00:45;00:00;PAX:Ricky & Matthias
2014-10-12;FHFPL;C172;;LOAV;13:54;LOGG;14:46;1;00:52;00:52;00:00;PAX:Ricky & Matthias
2014-10-02;FHFPL;C172;;LOAV;15:48;LOAV;16:31;1;00:43;00:43;00:00;PAX:Stoifl
2014-09-21;OEDCL;C172;ROSDOL CRI;LOAV;07:41;LOAV;08:52;2;01:11;00:00;01:11;Einweisung G1000
2014-09-17;OEAGX;DV20;;LHFM;15:28;LOAV;15:50;1;00:22;00:22;00:00;
2014-09-17;OEAGX;DV20;;LHFM;15:10;LHFM;15:28;3;00:18;00:18;00:00;
2014-09-17;OEAGX;DV20;;LOAV;13:47;LHFM;14:27;1;00:40;00:40;00:00;
2014-08-28;OEAKW;A211;;LOAV;16:45;LOAV;18:01;1;01:16;01:16;00:00;PAX:Stoifl
2014-08-21;OEAKI;A211;;LOAV;16:47;LOAV;18:02;1;01:15;01:15;00:00;PAX:Stoifl
2014-08-10;OEAKW;A211;;LOAB;14:23;LOAV;15:19;1;00:56;00:56;00:00;PAX:Stoifl
2014-08-10;OEAKW;A211;;LOAV;11:51;LOAB;12:59;1;01:08;01:08;00:00;PAX:Stoifl
2014-08-09;OEAKW;A211;C. WEISS (CO);LOWG;12:53;LOAV;14:01;1;01:08;01:08;00:00;
2014-08-09;OEAKW;A211;C. WEISS (PIC);LOAV;10:54;LOWG;11:56;1;01:02;00:00;01:02;
2014-08-07;OECFF;C152;;LOAV;16:05;LOAV;18:00;2;01:55;01:55;00:00;PAX:Stoifl
2014-07-24;OECFF;C152;;LOAG;17:42;LOAV;18:19;1;00:37;00:37;00:00;PAX:Stoifl
2014-07-24;OECFF;C152;;LOAV;16:38;LOAG;17:29;1;00:51;00:51;00:00;PAX:Stoifl
2014-07-13;OEAKW;A211;ROSDOL CRI;LOAV;10:17;LOAV;10:54;1;00:37;00:00;00:37;Einweisung G500/GTN650
2014-06-28;OEAKI;A211;;LOAV;07:21;LOAV;08:21;7;01:00;01:00;00:00;
2014-06-26;OECFF;C152;;LOAU;17:45;LOAV;18:19;1;00:34;00:34;00:00;PAX:Stoifl
2014-06-26;OECFF;C152;;LOAV;16:53;LOAU;17:33;1;00:40;00:40;00:00;PAX:Stoifl
2014-06-25;OEAGT;DV20;;LOLT;10:25;LOAV;11:21;1;00:56;00:56;00:00;
2014-06-25;OEAGT;DV20;;LOAV;08:47;LOLT;09:41;1;00:54;00:54;00:00;PAX:Stoifl
2014-06-19;OECFF;C152;;LHFM;09:09;LOAV;09:48;1;00:39;00:39;00:00;PAX:Stoifl
2014-06-19;OECFF;C152;;LOAV;07:31;LHFM;08:08;1;00:37;00:37;00:00;PAX:Stoifl
2014-06-14;OEAKI;A211;;LOAS;11:49;LOAV;12:29;1;00:40;00:40;00:00;PAX:Stoifl
2014-06-14;OEAKI;A211;;LOAV;09:50;LOAS;10:37;1;00:47;00:47;00:00;PAX:Stoifl
2014-06-11;OEAGT;DV20;;LOAV;16:59;LOAV;17:58;1;00:59;00:59;00:00;PAX:Stoifl
2014-06-10;OEKAS;DA40;;LOAV;08:19;EDMV;09:43;1;01:24;01:24;00:00;CO:Huber
2014-06-08;OEAKI;A211;;LOGW;12:09;LOAV;12:58;1;00:49;00:49;00:00;
2014-06-08;OEAKI;A211;;LOAV;10:37;LOGW;11:23;1;00:46;00:46;00:00;
2014-05-23;OEAKI;A211;;LOGK;11:47;LOAV;12:27;1;00:40;00:40;00:00;CO:Huber
2014-05-22;OECFF;C152;;LOAV;17:01;LOAV;18:19;1;01:18;01:18;00:00;CTR Wien, PAX:Stoifl
2014-05-21;OEAGT;DV20;;LOWZ;12:21;LOAV;14:01;1;01:40;01:40;00:00;
2014-05-21;OEAGT;DV20;;LOAV;09:49;LOWZ;11:31;1;01:42;01:42;00:00;
2014-05-06;OEKAS;DA40;;LHFM;11:25;LOAV;11:59;1;00:34;00:34;00:00;
2014-05-06;OEKAS;DA40;;LOAV;09:46;LHFM;10:29;3;00:43;00:43;00:00;
2014-05-02;OEAKI;A211;;LOAG;09:29;LOAV;10:08;1;00:39;00:39;00:00;PAX:Seirer
2014-05-02;OEAKI;A211;;LOAV;07:31;LOAG;08:31;1;01:00;01:00;00:00;PAX:Seirer
2014-04-30;OEAGT;DV20;;LOAV;12:36;LOAV;14:03;1;01:27;01:27;00:00;PAX:Clemens
2014-04-27;OEAKI;A211;;LOAV;10:50;LOAV;12:34;1;01:44;01:44;00:00;
2014-04-27;OEAKI;A211;;LOAV;09:27;LOAV;10:11;4;00:44;00:44;00:00;
2014-04-18;OECFF;C152;;LOGP;16:05;LOAV;16:46;1;00:41;00:41;00:00;
2014-04-18;OECFF;C152;;LHFM;14:30;LOGP;15:04;1;00:34;00:34;00:00;Landfee:8
2014-04-18;OECFF;C152;;LHFM;14:07;LHFM;14:30;5;00:23;00:23;00:00;Landfee:35
2014-04-18;OECFF;C152;;LOAV;12:24;LHFM;13:02;1;00:38;00:38;00:00;Landfee:7
2014-02-14;OECFF;C152;;LOAV;15:39;LOAV;16:28;1;00:49;00:49;00:00;
2014-02-08;OEKYV;C172;;LOAG;14:02;LOAV;15:22;1;01:20;01:20;00:00;PAX:Bubi
2014-02-08;OEKYV;C172;;LOAV;11:57;LOAG;12:35;1;00:38;00:38;00:00;PAX:Bubi
2014-01-15;OEAKI;A211;;LOAV;11:14;LOAV;12:05;1;00:51;00:51;00:00;
2014-01-03;OEKYV;C172;;LOAV;12:11;LOAV;13:06;4;00:55;00:55;00:00;
2014-01-03;OEKYV;C172;;LOAV;10:41;LOAV;11:10;3;00:29;00:29;00:00;PAX:Martin
2013-12-21;OEAKI;A211;;LOAV;14:28;LOAV;15:22;1;00:54;00:54;00:00;PAX:Bubi
2013-12-05;OEAKI;A211;SCHIMMELBACH FI;LOAU;14:35;LOAV;15:04;1;00:29;00:00;00:29;
2013-12-05;OEAKI;A211;SCHIMMELBACH FI;LOAV;13:41;LOAU;14:30;2;00:49;00:00;00:49;Landfee:13
2013-11-12;OECFF;C152;;LOAS;11:56;LOAV;12:36;1;00:40;00:40;00:00;
2013-11-12;OECFF;C152;;LOAV;10:34;LOAS;11:12;1;00:38;00:38;00:00;Landfee:10
2013-11-07;OEAGT;DV20;;LOAV;12:16;LOAV;13:22;1;01:06;01:06;00:00;PAX:Allison
2013-10-21;OECFF;C152;;LHFM;14:00;LOAV;14:34;1;00:34;00:34;00:00;
2013-10-21;OECFF;C152;;LHFM;13:35;LHFM;14:00;5;00:25;00:25;00:00;Landfee:30
2013-10-21;OECFF;C152;;LOAV;12:26;LHFM;13:05;1;00:39;00:39;00:00;
2013-09-15;OEKYV;C172;;LOAV;09:02;LOAV;10:21;1;01:19;01:19;00:00;PAX: Renate, Kerstin, Sebastian
2013-09-01;OEKYV;C172;;LOAV;15:46;LOAV;17:04;1;01:18;01:18;00:00;PAX: Martin Pfleger
2013-08-21;OEKAS;DA40;ROSDOL FI;LOAV;15:59;LOAV;17:00;3;01:01;00:00;01:01;Einweisung DA40
2013-08-16;OEAGT;DV20;;LOAV;07:23;LOAV;08:01;4;00:38;00:38;00:00;
2013-08-07;OEAGT;DV20;;LOAG;09:34;LOAV;10:12;1;00:38;00:38;00:00;
2013-08-07;OEAGT;DV20;;LOAV;07:58;LOAG;08:56;1;00:58;00:58;00:00;Landfee:11, LO-R-15
2013-08-03;OECFF;C152;;LHFM;08:45;LOAV;09:19;1;00:34;00:34;00:00;Problems with right brake
2013-08-03;OECFF;C152;;LOAV;07:20;LHFM;08:05;3;00:45;00:45;00:00;Landfee:20
2013-07-31;OECFF;C152;;LOAV;08:12;LOAV;09:50;1;01:38;01:38;00:00;
2013-07-14;OECFF;C152;;LOGK;09:38;LOAV;10:29;1;00:51;00:51;00:00;
2013-07-14;OECFF;C152;;LOAV;07:03;LOGK;07:52;1;00:49;00:49;00:00;Landfee:10
2013-07-13;OECFF;C152;;LOGM;08:50;LOAV;09:37;1;00:47;00:47;00:00;
2013-07-13;OECFF;C152;;LOAV;07:31;LOGM;08:13;1;00:42;00:42;00:00;Landfee:12
2013-07-10;OEAGT;DV20;;LHFM;09:25;LOAV;10:05;1;00:40;00:40;00:00;
2013-07-10;OEAGT;DV20;;LOAV;07:55;LHFM;08:31;1;00:36;00:36;00:00;Landfee:10
2013-06-23;OEAGT;DV20;;LOAV;09:58;LOAV;10:55;1;00:57;00:57;00:00;PAX:Georg Stoifl
2013-06-19;OEAGT;DV20;;LOGO;10:33;LOAV;12:17;1;01:44;01:44;00:00;PAX:Christof Bader
2013-06-19;OEAGT;DV20;;LOAV;07:55;LOGO;09:21;1;01:26;01:26;00:00;Landfee:8.40, PAX:Christof Bader
2013-06-16;OEKYV;C172;;LOAG;10:28;LOAV;11:15;1;00:47;00:47;00:00;PAX:Alina Binder, PAX:Judith Karner, PAX: Lucas
2013-06-16;OEKYV;C172;;LOAV;07:43;LOAG;09:19;1;01:36;01:36;00:00;Landfee:16.50, PAX:Alina Binder, PAX:Judith Karner, PAX: Lucas
2013-06-15;OEAGT;DV20;;LOAV;16:33;LOAV;17:03;4;00:30;00:30;00:00;
2013-06-15;OEAGT;DV20;;LOAV;16:07;LOAV;16:27;1;00:20;00:20;00:00;
2013-06-12;OEAGT;DV20;;LOAV;07:56;LOAV;09:44;1;01:48;01:48;00:00;
2013-06-09;OECFF;C152;;LOGG;08:46;LOAV;09:45;1;00:59;00:59;00:00;
2013-06-09;OECFF;C152;;LOAV;07:34;LOGG;08:26;1;00:52;00:52;00:00;Landfee:8.50
2013-05-05;OEAGT;DV20;;LOAU;09:19;LOAV;09:55;1;00:36;00:36;00:00;
2013-05-05;OEAGT;DV20;;LOAD;08:37;LOAU;09:14;1;00:37;00:37;00:00;Landfee:10
2013-05-05;OEAGT;DV20;;LOAV;07:35;LOAD;08:13;1;00:38;00:38;00:00;Landfee:15
2013-05-04;OEKYV;C172;;LOAS;11:53;LOAV;12:44;1;00:51;00:51;00:00;PAX: Martin Pfleger
2013-05-04;OEKYV;C172;;LOAV;10:27;LOAS;11:04;1;00:37;00:37;00:00;PAX: Martin Pfleger
2013-04-24;OEAGT;DV20;;LOAG;10:30;LOAV;11:15;1;00:45;00:45;00:00;
2013-04-24;OEAGT;DV20;;LOGP;08:27;LOAG;09:35;1;01:08;01:08;00:00;
2013-04-24;OEAGT;DV20;;LOAV;07:23;LOGP;08:07;1;00:44;00:44;00:00;
2013-04-21;OEKYV;C172;SCHIMMELBACH FI;LOAS;09:15;LOAV;09:58;2;00:43;00:00;00:43;PAX: Georg Stoifl
2013-04-21;OEKYV;C172;SCHIMMELBACH FI;LOAV;08:20;LOAS;09:15;1;00:55;00:00;00:55;PAX: Georg Stoifl
2013-04-17;OEAGT;DV20;;LOAV;09:18;LOAV;09:46;2;00:28;00:28;00:00;
2013-03-20;OEAGT;DV20;;LOAG;09:53;LOAV;10:42;1;00:49;00:49;00:00;
2013-03-20;OEAGT;DV20;;LOAV;08:31;LOAG;09:09;1;00:38;00:38;00:00;
2013-03-16;OEAGT;DV20;;LOAV;10:20;LOAV;10:58;3;00:38;00:38;00:00;
2013-03-16;OEAGT;DV20;;LOAV;09:25;LOAV;10:00;2;00:35;00:35;00:00;
2013-03-03;OECFF;C152;;LOGF;12:48;LOAV;13:45;1;00:57;00:57;00:00;
2013-03-03;OECFF;C152;;LOAV;11:42;LOGF;12:35;1;00:53;00:53;00:00;
2013-03-03;OEAGT;DA20;SCHIMMELBACH FI;LOAV;09:33;LOAV;10:16;3;00:43;00:00;00:43;Einweisung
2012-12-29;OECFF;C152;;LOAG;10:42;LOAV;12:06;1;01:24;01:24;00:00;PAX: Stefan Pfleger
2012-12-29;OECFF;C152;;LOAV;09:12;LOAG;10:18;1;01:06;01:06;00:00;PAX: Stefan Pfleger
2012-12-29;OECFF;C152;;LOAV;08:23;LOAV;08:41;3;00:18;00:18;00:00;
2012-12-01;OECUS;C152;KUGLER FE;LOAV;08:31;LOAV;10:25;3;01:54;00:00;01:54;PPL-Prufung
2012-10-03;OECFF;C152;MORAWEC FI;LOWG;15:44;LOAV;16:59;1;01:15;00:00;01:15;D-Check
2012-10-03;OECFF;C152;MORAWEC FI;LOAV;14:17;LOWG;15:18;1;01:01;00:00;01:01;
2012-09-29;OECFF;C152;;LOAG;10:57;LOAV;11:34;1;00:37;00:37;00:00;
2012-09-29;OECFF;C152;;LOLW;08:49;LOAG;09:54;1;01:05;01:05;00:00;
2012-09-29;OECFF;C152;;LOAV;07:17;LOLW;08:34;1;01:17;01:17;00:00;
2012-09-12;OECUS;C152;;LOAV;08:19;LOAV;09:59;1;01:40;01:40;00:00;
2012-09-08;OECUS;C152;;LOAV;07:25;LOAV;09:01;1;01:36;01:36;00:00;
2012-09-05;OECUS;C152;;LOAG;13:23;LOAV;13:59;1;00:36;00:36;00:00;
2012-09-05;OECUS;C152;;LOAV;10:52;LOAG;12:15;1;01:23;01:23;00:00;
2012-08-29;OECUS;C152;;LOAV;11:08;LOAV;11:45;1;00:37;00:37;00:00;
2012-08-22;OECFF;C152;;LOAV;10:25;LOAV;11:22;5;00:57;00:57;00:00;
2012-08-22;OECFF;C152;SCHIMMELBACH FI;LOAV;09:39;LOAV;10:17;1;00:38;00:00;00:38;
2012-08-18;OECFF;C152;SCHIMMELBACH FI;LOAV;07:45;LOAV;10:15;1;02:30;00:00;02:30;Alpeneinweisung
2012-08-15;OECFF;C152;;LOAS;10:37;LOAV;11:13;1;00:36;00:36;00:00;
2012-08-15;OECFF;C152;;LOAV;09:12;LOAS;10:05;3;00:53;00:53;00:00;
2012-08-12;OECFF;C152;MORAWEC FI;LOAV;13:46;LOAV;14:36;1;00:50;00:00;00:50;C-Check
2012-08-12;OECFF;C152;SCHIMMELBACH FI;LOAS;10:34;LOAV;11:30;1;00:56;00:00;00:56;
2012-08-12;OECFF;C152;SCHIMMELBACH FI;LOAV;09:35;LOAS;10:25;2;00:50;00:00;00:50;
2012-08-08;OECFF;C152;SCHIMMELBACH FI;LOAV;09:30;LOAV;11:09;1;01:39;00:00;01:39;
2012-08-04;OECFF;C152;SCHIMMELBACH FI;LOAG;11:23;LOAV;12:46;1;01:23;00:00;01:23;
2012-08-04;OECFF;C152;SCHIMMELBACH FI;LOAV;09:37;LOAG;10:17;1;00:40;00:00;00:40;
2012-08-01;OECFF;C152;;LOAV;09:33;LOAV;10:47;8;01:14;01:14;00:00;
2012-08-01;OECFF;C152;;LOAV;07:30;LOAV;08:43;5;01:13;01:13;00:00;
2012-07-29;OECFF;C152;SCHIMMELBACH FI;LOAV;07:32;LOAV;08:41;3;01:09;00:00;01:09;
2012-06-07;OECUS;C152;SCHIMMELBACH FI;LOAG;09:14;LOAV;10:00;1;00:46;00:00;00:46;
2012-06-07;OECUS;C152;SCHIMMELBACH FI;LOAV;07:49;LOAG;08:45;1;00:56;00:00;00:56;
2012-06-02;OECFF;C152;;LOAV;10:01;LOAV;10:23;3;00:22;00:22;00:00;First Solo
2012-06-02;OECFF;C152;SCHIMMELBACH FI;LOAV;09:29;LOAV;09:47;2;00:18;00:00;00:18;
2012-05-18;OECFF;C152;SCHIMMELBACH FI;LOAV;09:34;LOAV;10:29;2;00:55;00:00;00:55;
2012-05-13;OECFF;C152;SCHIMMELBACH FI;LOAS;09:20;LOAV;10:11;1;00:51;00:00;00:51;
2012-05-13;OECFF;C152;SCHIMMELBACH FI;LOAV;07:49;LOAS;08:36;3;00:47;00:00;00:47;
2012-05-09;OECFF;C152;MORAWEC FI;LOAV;14:13;LOAV;14:46;4;00:33;00:00;00:33;B-Check
2012-05-09;OECFF;C152;SCHIMMELBACH FI;LOAV;12:32;LOAV;13:12;5;00:40;00:00;00:40;
2012-04-25;OECFF;C152;SCHIMMELBACH FI;LOAV;07:32;LOAV;08:30;7;00:58;00:00;00:58;
2012-04-18;OECFF;C152;SCHIMMELBACH FI;LOAV;13:12;LOAV;13:45;5;00:33;00:00;00:33;
2012-04-18;OECFF;C152;SCHIMMELBACH FI;LOAV;11:42;LOAV;12:52;7;01:10;00:00;01:10;
2012-04-13;OECFF;C152;KUGLER FI;LOAV;15:19;LOAV;16:40;3;01:21;00:00;01:21;A-Check
2012-04-09;OECFF;C152;SCHIMMELBACH FI;LOAS;11:56;LOAV;12:46;4;00:50;00:00;00:50;
2012-04-09;OECFF;C152;SCHIMMELBACH FI;LOAV;10:55;LOAS;11:50;3;00:55;00:00;00:55;
2012-04-04;OECFF;C152;SCHIMMELBACH FI;LOAV;15:45;LOAV;16:25;4;00:40;00:00;00:40;
2012-04-04;OECFF;C152;SCHIMMELBACH FI;LOAV;15:35;LOAV;15:50;1;00:15;00:00;00:15;
2012-04-04;OECFF;C152;SCHIMMELBACH FI;LOAV;15:10;LOAV;15:41;3;00:31;00:00;00:31;
2012-03-28;OECFF;C152;SCHIMMELBACH FI;LOAV;11:50;LOAV;12:50;6;01:00;00:00;01:00;
2012-03-24;OECFF;C152;KUGLER FI;LOAV;09:46;LOAV;10:43;3;00:57;00:00;00:57;
2012-03-24;OECFF;C152;KUGLER FI;LOAV;08:22;LOAV;09:13;6;00:51;00:00;00:51;
2012-03-14;OECFF;C152;SCHIMMELBACH FI;LOAV;12:29;LOAV;13:17;3;00:48;00:00;00:48;
2012-03-03;OECFF;C152;SCHIMMELBACH FI;LOAV;13:16;LOAV;14:12;3;00:56;00:00;00:56;
2012-02-18;OECFF;C152;SCHIMMELBACH FI;LOAV;14:00;LOAV;15:00;4;01:00;00:00;01:00;
2012-02-08;OECFF;C152;SCHIMMELBACH FI;LOGG;13:09;LOAV;14:07;2;00:58;00:00;00:58;
2012-02-08;OECFF;C152;SCHIMMELBACH FI;LOAV;11:27;LOGG;12:17;1;00:50;00:00;00:50;
2012-02-01;OECFF;C152;SCHIMMELBACH FI;LOAV;12:26;LOAV;13:19;3;00:53;00:00;00:53;
2012-01-28;OEAGT;DA20;SCHIMMELBACH FI;LOAV;13:09;LOAV;13:51;2;00:42;00:00;00:42;
2011-11-06;OEAGT;DA20;SCHREFL FI;LOAV;12:10;LOAV;12:38;1;00:28;00:00;00:28;
